url,evaldate,grade,email
www.oracle.com,2017-01-01,good,x@a.ca
www.oracle.com,2017-01-25,good,a@x.ca
www.oracle.com,2015-01-01,good,x@a.ca
www.oracle.com/database,2017-02-26,bad,x@a.ca
www.oracle.com/database,2017-03-26,bad,x@a.ca
www.oracle.com/database,2002-03-06,bad,k@a.ca
www.cs.mcgill.ca/research/areas,2013-01-01,good,m@a.ca
www.cs.mcgill.ca/research/areas,2003-01-01,good,m@a.ca
en.wikipedia.org/wiki/Computer_science,2003-01-01,good,x@a.ca
en.wikipedia.org/wiki/Biology,2005-02-01,good,a@x.ca
en.wikipedia.org/wiki/Evolution,2013-01-01,bad,x@a.ca
www.mcgill.ca/humangenetics/,2010-08-01,good,x@a.ca
link.springer.com/journal/439,2002-09-24,good,a@x.ca
www.concordia.ca/artsci/psychology/research/research-labs.html,2017-02-18,bad,r@a.ca
www.sas.com/en_us/insights/analytics/machine-learning.html,2006-09-21,bad,x@a.ca
hbr.org/2015/07/what-every-manager-should-know-about-machine-learning,2001-09-19,good,x@a.ca
www.udacity.com/course/machine-learning-ud262,2011-09-01,good,a@x.ca
www.sas.com/en_us/insights/analytics/machine-learning.html,2009-09-23,good,a@x.ca
hbr.org/2015/07/what-every-manager-should-know-about-machine-learning,2006-09-21,good,m@a.ca
whatis.techtarget.com/definition/machine-learning,2003-11-24,bad,m@a.ca
